DiskRead	DiskWrite	IORead	IOWrite	TpsRead	TpsWirte	DiskUtil	NetRead	NetWrite	Tot	Tcp	Udp	Raw	Frg	
   0    20000    0  2.00     0     2     0:   0  212B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 2420B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  998B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  212B    0  973   5   5   0   0
   0   236000    0  3.00     0     3     0:   0  494B    0  973   5   5   0   0
   0    28000    0  2.00     0     2     0:   0 1823B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  262B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  212B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  348B    0  973   5   5   0   0
   0   264000    0  5.00     0     5     0:   0  120B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0 1150B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 2474B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  180B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 2035B    0  973   5   5   0   0
   0   256000    0  2.00     0     2     0:   0  474B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0  120B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  816B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  832B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  796B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   92B    0  973   5   5   0   0
   0   252000    0  4.00     0     4     0:   0  152B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 4037B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  272B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  720B   54B 973   5   5   0   0
   0     0     0     0     0     0     0:   0   60B    0  973   5   5   0   0
   0    12000    0  2.00     0     2     0:   0  152B    0  973   5   5   0   0
   0   276000    0  4.00     0     4     0:   0  948B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  762B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  332B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1975B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  582B    0  973   5   5   0   0
   0    24000    0  2.00     0     2     0:   0 2078B    0  973   5   5   0   0
